,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_FmitMEHXpKUhltJU&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Soggiorna con Andrea,48€,Bilocale,1,1,0
1,https://www.airbnb.it/rooms/20264994?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_TMeFY4xvCnGhF65U&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Central - The Sunny Flat,65€,Trilocale,2,1,7
2,https://www.airbnb.it/rooms/869255223043880964?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_kyGiQqbdKKqNdE1S&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Camera con idromassaggio,84€,Bilocale,1,1,2
3,https://www.airbnb.it/rooms/50865213?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_4rHSD0dd4HHIUZQE&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Le stanze di elisa,71€,Bilocale,1,1,2
4,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_n5Pe2MOHxkv1QJwW&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
5,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_SkGhQ1sLhuz9zZEZ&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Appartamento con posto auto e balcone centro città,88€,Bilocale,1,1,4
6,https://www.airbnb.it/rooms/38504970?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_o1dBECRoEjAVLQm0&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,L'accogliente appartamento,77€,Bilocale,1,1,2
7,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_K8eixQ1yq0cru%2FaH&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],85€,Bilocale,1,1,4
8,https://www.airbnb.it/rooms/943957750231162643?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_zSlUmHW%2BUPi1EVxm&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Comfort Corner in Via Dante,90€,bilocale,1,1,2
9,https://www.airbnb.it/rooms/624596049652312466?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_TP9MZUdz8LyYZawF&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Dante House in pieno centro ideale per gruppi,188€,Altro,3,2,6
10,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_a%2FRH9ks%2BBX0KlDo3&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Piccolo bivano in centro,82€,Bilocale,1,1,4
11,https://www.airbnb.it/rooms/663746741730019733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-09&check_out=2023-11-12&source_impression_id=p3_1697831317_%2BtQlob5ZjDNOc6zb&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,"Suite stupenda in centro due, tre o quattro posti",79€,Bilocale,1,1,4
12,https://www.airbnb.it/rooms/37412672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-09&check_out=2023-11-12&source_impression_id=p3_1697831317_x5gl7JaopMT7SwDx&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,"Gina Apartment Centre vicino a Bus-Metro, WIFI GRATUITO",92€,Trilocale,2,1,6
13,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_FmitMEHXpKUhltJU&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Soggiorna con Andrea,48€,Bilocale,1,1,0
14,https://www.airbnb.it/rooms/20264994?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_TMeFY4xvCnGhF65U&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Central - The Sunny Flat,65€,Trilocale,2,1,7
15,https://www.airbnb.it/rooms/869255223043880964?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_kyGiQqbdKKqNdE1S&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Camera con idromassaggio,84€,Bilocale,1,1,2
16,https://www.airbnb.it/rooms/50865213?check_in=2023-11-10&check_out=2023-11-12&source_impression_id=p3_1697831317_4rHSD0dd4HHIUZQE&previous_page_section_name=1000&federated_search_id=657eae86-9b50-4787-bb4c-345a5fccf4ef,Le stanze di elisa,71€,Bilocale,1,1,2
