,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_jDClgvOlmfpn87F1&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
1,https://www.airbnb.it/rooms/7574547?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_3Ki3RsVxpiC43lzv&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Colorata Mansarda-Teatro Lirico (spiaggia 20 min),68€,Trilocale,2,1,4
2,https://www.airbnb.it/rooms/50865213?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_DfdnUbWQ94x00gxI&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Le stanze di elisa,71€,Bilocale,1,1,2
3,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_uB6V%2FpN5Rfm%2FNr1l&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Appartamento con posto auto e balcone centro città,94€,Bilocale,1,1,4
4,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_GaWZhfUiMqZsrAjE&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],109€,Bilocale,1,1,4
5,https://www.airbnb.it/rooms/622165515313540716?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_sjH3ODk%2FbP29Xjej&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Nuovo appartamento nel cuore di Cagliari,129€,Trilocale,2,1,4
6,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_jM%2FPly%2BoxE5DHLhE&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Piccolo bivano in centro,82€,Bilocale,1,1,4
7,https://www.airbnb.it/rooms/27502199?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_2DWdcamP5vuAyvir&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Liberty Suite,117€,Bilocale,1,1,4
8,https://www.airbnb.it/rooms/881530297370522986?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_W2xVLYvB7YAnlKbY&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,In Donizetti Numero 5,251€,Quadrilocale,2,2,5
9,https://www.airbnb.it/rooms/5210819?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_yq2e%2BTZ%2Bn%2B3fDHET&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Bellissimo appartamento centrale,100€,Bilocale,1,1,4
10,https://www.airbnb.it/rooms/888128712509007857?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_uPejVWIjSpKYi5KK&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Eleonore Elegant Rooms- Suite Castelsardo,150€,Bilocale,1,1,4
11,https://www.airbnb.it/rooms/52067471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-28&check_out=2023-12-31&source_impression_id=p3_1697831500_s1kudzgNypidzvNj&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Domu Genneruxi,96€,Bilocale,1,1,4
12,https://www.airbnb.it/rooms/49782004?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-28&check_out=2023-12-31&source_impression_id=p3_1697831500_W9Yrj9xzbXyKHfNQ&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Cuore di Cagliari - appartamento con terrazza verde,114€,Bilocale,1,1,4
13,https://www.airbnb.it/rooms/37412672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-28&check_out=2023-12-31&source_impression_id=p3_1697831500_0GeLShyhzpPfbiiD&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,"Gina Apartment Centre vicino a Bus-Metro, WIFI GRATUITO",141€,Trilocale,2,1,6
14,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_jDClgvOlmfpn87F1&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
15,https://www.airbnb.it/rooms/7574547?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_3Ki3RsVxpiC43lzv&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Colorata Mansarda-Teatro Lirico (spiaggia 20 min),68€,Trilocale,2,1,4
16,https://www.airbnb.it/rooms/50865213?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_DfdnUbWQ94x00gxI&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Le stanze di elisa,71€,Bilocale,1,1,2
17,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_uB6V%2FpN5Rfm%2FNr1l&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Appartamento con posto auto e balcone centro città,94€,Bilocale,1,1,4
18,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_GaWZhfUiMqZsrAjE&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],109€,Bilocale,1,1,4
19,https://www.airbnb.it/rooms/622165515313540716?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_sjH3ODk%2FbP29Xjej&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Nuovo appartamento nel cuore di Cagliari,129€,Trilocale,2,1,4
20,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_jM%2FPly%2BoxE5DHLhE&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Piccolo bivano in centro,82€,Bilocale,1,1,4
21,https://www.airbnb.it/rooms/27502199?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_2DWdcamP5vuAyvir&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Liberty Suite,117€,Bilocale,1,1,4
22,https://www.airbnb.it/rooms/881530297370522986?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_W2xVLYvB7YAnlKbY&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,In Donizetti Numero 5,251€,Quadrilocale,2,2,5
23,https://www.airbnb.it/rooms/5210819?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_yq2e%2BTZ%2Bn%2B3fDHET&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Bellissimo appartamento centrale,100€,Bilocale,1,1,4
24,https://www.airbnb.it/rooms/888128712509007857?check_in=2023-12-29&check_out=2023-12-31&source_impression_id=p3_1697831500_uPejVWIjSpKYi5KK&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Eleonore Elegant Rooms- Suite Castelsardo,150€,Bilocale,1,1,4
25,https://www.airbnb.it/rooms/52067471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-28&check_out=2023-12-31&source_impression_id=p3_1697831500_s1kudzgNypidzvNj&previous_page_section_name=1000&federated_search_id=49782141-057a-420a-9677-78fe5fe457e5,Domu Genneruxi,96€,Bilocale,1,1,4
