,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_CeV7pIMpqQoJGLj0&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Soggiorna con Andrea,53€,Bilocale,1,1,0
1,https://www.airbnb.it/rooms/980451904521331791?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_faRtcKOZEUIugYPk&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,IzzHome Delizioso,64€,Bilocale,1,1,4
2,https://www.airbnb.it/rooms/20264994?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_QrI92N3k%2F4rSmkjE&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Central - The Sunny Flat,65€,Trilocale,2,1,7
3,https://www.airbnb.it/rooms/50865213?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_DN7BXs%2B3vANSOZ%2Bq&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Le stanze di elisa,71€,Bilocale,1,1,2
4,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_5kI6bR5uSIX7ba7X&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],79€,Bilocale,1,1,4
5,https://www.airbnb.it/rooms/19240956?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_s%2Fka3N2j5ukrcjka&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Casa vacanze Cagliari centro,88€,Trilocale,2,1,5
6,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_rmuS7rm0CMVWpEom&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Appartamento con posto auto e balcone centro città,88€,Bilocale,1,1,4
7,https://www.airbnb.it/rooms/38504970?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_bU%2BJHxGQwctEV%2BgT&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,L'accogliente appartamento,77€,Bilocale,1,1,2
8,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_BS56pXIJCCIeq5Z8&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
9,https://www.airbnb.it/rooms/943957750231162643?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_10o3Emt38x5BMXTD&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Comfort Corner in Via Dante,90€,bilocale,1,1,2
10,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_A63eokWF5TZcG%2F3S&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,Piccolo bivano in centro,82€,Bilocale,1,1,4
11,https://www.airbnb.it/rooms/873970567512282508?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_9oV5JpAHYd5m7RhE&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,A casa di Anna e Mario - trilocale,77€,trilocale,2,1,4
12,https://www.airbnb.it/rooms/881530297370522986?check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697831285_fHzzb%2Fg%2FDxMKTxO6&previous_page_section_name=1000&federated_search_id=8076388f-64f9-4324-a925-1501d973d1cb,In Donizetti Numero 5,148€,Quadrilocale,2,2,5
